filename,split,entropy_pseudo,entropy_gt,entropy_diff
pomorskie_24.tif,train,0.2411,0.1510,0.0901
monrovia_34.tif,train,1.4846,1.4475,0.0371
pomorskie_18.tif,train,0.7741,0.6840,0.0901
abancay_37.tif,train,1.2956,1.3188,-0.0232
chicago_27.tif,train,0.9072,1.0488,-0.1416
zanzibar_44.tif,train,0.6029,0.8265,-0.2236
duesseldorf_7.tif,train,0.6893,0.7461,-0.0567
daressalaam_73.tif,train,1.0631,1.2798,-0.2168
koeln_59.tif,train,1.1755,1.2797,-0.1042
western_15.tif,train,0.7613,0.8354,-0.0741
rio_10.tif,train,0.7356,1.0689,-0.3334
slaskie_14.tif,train,0.5227,0.5700,-0.0473
daressalaam_23.tif,train,1.3663,1.4965,-0.1302
bielefeld_53.tif,train,1.2208,1.2579,-0.0372
podkarpackie_14.tif,train,0.4028,0.4742,-0.0714
slaskie_12.tif,train,0.3143,0.3693,-0.0550
wielkopolskie_33.tif,train,1.0014,1.0212,-0.0198
piura_36.tif,train,0.7735,0.7545,0.0190
rotterdam_25.tif,train,1.2484,1.2818,-0.0335
aachen_10.tif,train,0.4572,0.5924,-0.1352
baybay_26.tif,train,0.6411,0.6844,-0.0433
kagera_24.tif,train,0.8174,0.7913,0.0261
melbourne_20.tif,train,1.3118,1.2782,0.0336
tokyo_52.tif,train,1.1404,1.1024,0.0380
kagera_7.tif,train,1.1112,1.0669,0.0444
shanghai_60.tif,train,0.7758,0.5827,0.1932
chicago_25.tif,train,1.3436,1.5159,-0.1724
chiclayo_12.tif,train,0.6968,0.6361,0.0607
chicago_46.tif,train,0.9163,1.0556,-0.1393
daressalaam_121.tif,train,1.3103,1.4687,-0.1584
pisco_31.tif,train,0.7616,0.7318,0.0298
melbourne_45.tif,train,1.3699,1.4882,-0.1183
chisinau_29.tif,train,1.0085,1.0219,-0.0134
khartoum_19.tif,train,1.2240,0.9299,0.2942
daressalaam_38.tif,train,1.2862,1.4471,-0.1609
pisco_50.tif,train,0.5657,0.4921,0.0736
dolnoslaskie_11.tif,train,0.6626,0.4989,0.1636
baybay_4.tif,train,0.5451,0.5869,-0.0418
koeln_1.tif,train,1.3383,1.4591,-0.1209
austin_1.tif,train,0.4886,0.4596,0.0290
chicago_48.tif,train,0.9793,1.0120,-0.0327
sechura_15.tif,train,0.5763,0.6601,-0.0838
christchurch_24.tif,train,0.7191,0.8048,-0.0857
lambayeque_9.tif,train,1.0362,0.9953,0.0409
santiago_2.tif,train,1.5286,1.5802,-0.0516
lodzkie_6.tif,train,0.3384,0.0601,0.2783
bielefeld_39.tif,train,1.1557,1.3400,-0.1843
aachen_47.tif,train,0.5469,0.6267,-0.0798
kagera_39.tif,train,1.0609,0.9340,0.1269
wielkopolskie_16.tif,train,0.7165,0.7583,-0.0419
daressalaam_54.tif,train,1.1157,1.2777,-0.1620
lohur_40.tif,train,0.5795,0.5772,0.0023
ngaoundere_55.tif,train,1.1390,0.8772,0.2618
swietokrzyskie_1.tif,train,0.2300,0.1587,0.0713
vegas_31.tif,train,0.3836,0.2679,0.1157
swietokrzyskie_18.tif,train,0.2177,0.4492,-0.2315
chicago_42.tif,train,1.4910,1.5554,-0.0644
muenster_27.tif,train,1.3871,1.4335,-0.0463
tonga_8.tif,train,1.3634,1.5214,-0.1579
dortmund_53.tif,train,1.4285,1.5100,-0.0815
muenster_4.tif,train,0.7435,0.6278,0.1157
viru_37.tif,train,0.4966,0.8077,-0.3110
piura_14.tif,train,0.9116,0.9704,-0.0588
chicago_45.tif,train,0.9386,1.0576,-0.1190
malopolskie_23.tif,train,0.2346,0.4537,-0.2191
tonga_9.tif,train,1.2105,1.0593,0.1511
rotterdam_43.tif,train,0.8433,0.8725,-0.0292
viru_40.tif,train,0.5812,0.5654,0.0158
swietokrzyskie_35.tif,train,0.1960,0.1790,0.0170
koeln_37.tif,train,1.1946,1.2727,-0.0781
tyrolw_65.tif,train,0.5615,0.5070,0.0545
piura_47.tif,train,1.1796,1.2073,-0.0277
duesseldorf_65.tif,train,0.2749,0.3481,-0.0732
mazowieckie_18.tif,train,0.2687,0.2739,-0.0051
kitsap_9.tif,train,1.1200,1.2478,-0.1278
chicago_34.tif,train,0.8621,0.9882,-0.1260
bielefeld_29.tif,train,0.8876,1.1998,-0.3122
piura_13.tif,train,0.7520,1.0854,-0.3334
muenster_13.tif,train,1.3851,1.5365,-0.1514
viru_16.tif,train,0.9731,1.0620,-0.0889
coxsbazar_28.tif,train,0.4877,0.5693,-0.0816
tyrolw_43.tif,train,0.8062,0.8854,-0.0792
pointenoire_1.tif,train,0.9818,1.1267,-0.1448
coxsbazar_78.tif,train,1.0027,1.1184,-0.1157
monrovia_36.tif,train,1.1299,1.0536,0.0764
dhaka_31.tif,train,0.4075,0.3390,0.0685
paris_67.tif,train,0.3966,0.4273,-0.0307
rotterdam_44.tif,train,1.0430,0.9006,0.1424
lambayeque_7.tif,train,1.1419,1.2165,-0.0747
vienna_18.tif,train,1.0812,1.0409,0.0403
bogota_2.tif,train,1.2389,1.2947,-0.0558
austin_21.tif,train,0.8074,0.8255,-0.0181
christchurch_45.tif,train,0.7531,0.8263,-0.0732
kyoto_53.tif,train,1.2305,1.1791,0.0515
kyoto_64.tif,train,1.2727,1.5047,-0.2320
mahe_4.tif,train,0.4992,0.3614,0.1378
paris_61.tif,train,1.2647,1.3886,-0.1239
khartoum_44.tif,train,0.9469,0.7362,0.2107
chisinau_26.tif,train,1.1490,1.2827,-0.1337
lambayeque_10.tif,train,1.0596,0.9921,0.0675
paris_4.tif,train,1.3435,1.0520,0.2915
dortmund_38.tif,train,1.1462,1.2373,-0.0911
ngaoundere_25.tif,train,0.9100,0.9946,-0.0846
rio_56.tif,train,0.7112,0.1410,0.5702
lodzkie_3.tif,train,0.5788,0.2467,0.3321
slaskie_23.tif,train,0.5731,0.6176,-0.0444
dhaka_56.tif,train,1.0581,0.9991,0.0590
chisinau_41.tif,train,1.0548,1.1271,-0.0722
chiclayo_20.tif,train,0.1595,0.3077,-0.1482
shanghai_43.tif,train,1.1163,1.0931,0.0232
kagera_51.tif,train,1.0249,1.1235,-0.0986
mazowieckie_26.tif,train,0.1921,0.2259,-0.0338
lambayeque_27.tif,train,0.6935,0.6987,-0.0051
