filename,split,total_diff_pixels,Bareland_fn,Bareland_fp,Rangeland_fn,Rangeland_fp,Developed_fn,Developed_fp,Road_fn,Road_fp,Tree_fn,Tree_fp,Water_fn,Water_fp,Agriculture_fn,Agriculture_fp,Building_fn,Building_fp
pomorskie_3.tif,train,437810,0,0,113883,100239,2271,218978,29519,7558,8402,64112,32430,1365,239092,42010,12213,3548
viru_31.tif,train,266633,88305,3253,30135,13342,81201,133757,10083,55671,8731,11368,0,351,36298,39615,11880,9276
abancay_27.tif,train,381400,0,0,50927,257289,159375,62930,28058,3084,51941,31768,0,271,64045,21439,27054,4619
tonga_57.tif,train,383421,0,0,109495,176623,28880,140098,11374,3475,207175,46743,0,3487,0,318,26497,12677
tokyo_5.tif,train,319059,0,59,33991,117572,84639,94606,27962,49621,53838,40891,86007,2817,0,4812,32622,8681
dortmund_5.tif,train,55480,0,0,10599,13602,9541,10021,3543,9236,8267,12998,0,1542,16845,7659,6685,422
chisinau_15.tif,train,214914,0,0,53342,4935,30427,159618,47037,16894,67210,15902,0,0,0,0,16898,17565
pisco_45.tif,train,267383,0,498,111115,5466,54207,186923,55377,9166,11098,4054,2240,20473,0,425,33346,40378
monrovia_63.tif,train,283921,0,0,155443,23419,56406,106056,7674,8506,13103,117521,2676,538,0,1908,48619,25973
monrovia_58.tif,train,219498,0,0,45035,67754,85339,88919,27798,6869,25288,27186,466,3781,0,1021,35572,23968
chisinau_27.tif,train,235061,0,0,67347,1606,46775,156291,59006,14335,15876,29197,0,0,0,0,46057,33632
kagera_33.tif,train,543011,0,0,401048,95782,44628,30905,4853,9835,0,375055,592,1350,88514,21252,3376,8832
daressalaam_74.tif,train,218912,0,264,78159,46952,50648,87614,9925,7263,49603,55928,0,0,0,0,30577,20891
santiago_47.tif,train,456894,0,0,258091,21428,53436,197370,20594,29798,63498,127492,11657,0,0,19070,49618,61736
coxsbazar_57.tif,train,262550,33500,0,76291,108429,9892,31775,2015,26727,78280,63423,33572,823,26998,28823,2002,2550
podkarpackie_17.tif,train,174305,0,0,70435,93964,2020,531,0,912,27871,47582,0,0,71098,31083,2881,233
chiangmai_15.tif,train,192881,0,129,42382,23444,61436,76951,32729,21492,26163,37982,28,6065,759,2925,29384,23893
soriano_11.tif,train,283562,0,0,60411,61785,115099,111087,32306,22937,22717,29581,1072,0,0,0,51957,58172
santiago_4.tif,train,388568,0,0,107877,87892,66025,161174,24792,25055,112945,76652,0,0,0,5417,76929,32378
