filename,split,region,noise_ratio,dominant_error,tsne_x,tsne_y
kitsap_39.tif,train,kitsap,0.2935,Water,7.3079,13.1641
christchurch_50.tif,train,christchurch,0.1629,Water,8.4343,-1.6084
vegas_19.tif,train,vegas,0.1121,Rangeland,60.5970,-5.8122
chisinau_40.tif,train,chisinau,0.2185,Rangeland,48.2307,-9.9609
malopolskie_1.tif,train,malopolskie,0.0702,Tree,-3.4215,31.8196
wielkopolskie_26.tif,train,wielkopolskie,0.2445,Tree,-36.2710,-24.2503
bielefeld_42.tif,train,bielefeld,0.2380,Water,10.6532,-0.3610
kampala_6.tif,train,kampala,0.2401,Rangeland,39.8107,-9.5778
podkarpackie_7.tif,train,podkarpackie,0.0754,Building,-56.4972,-6.5490
shanghai_40.tif,train,shanghai,0.4691,Bareland,20.5129,1.9562
muenster_68.tif,train,muenster,0.1309,Rangeland,-40.2031,-16.6384
maputo_14.tif,train,maputo,0.2832,Water,23.1532,16.7096
aachen_64.tif,train,aachen,0.3364,Water,-33.1407,-22.0931
baybay_8.tif,train,baybay,0.1725,Rangeland,-27.1476,-10.4351
kagera_36.tif,train,kagera,0.4034,Developed,-19.4023,-10.4041
baybay_13.tif,train,baybay,0.2414,Rangeland,-25.8845,-9.1096
shanghai_28.tif,train,shanghai,0.4469,Tree,41.3049,8.5057
kagera_66.tif,train,kagera,0.2261,Agriculture,-15.2999,-10.6215
svaneti_54.tif,train,svaneti,0.3607,Developed,-43.6211,-15.5298
austin_45.tif,train,austin,0.2228,Bareland,35.3030,10.1387
baybay_2.tif,train,baybay,0.2637,Agriculture,-1.7080,-24.8159
pomorskie_38.tif,train,pomorskie,0.2200,Road,-24.6754,-5.4689
bogota_3.tif,train,bogota,0.2450,Rangeland,42.2072,-12.3280
ica_9.tif,train,ica,0.2985,Rangeland,42.3297,1.0224
